Number,is_canceled,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
39,1,124,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,58,1
40,0,131,2,0,2,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,61,0
41,0,13,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,224,0
42,1,257,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,80.1,0
43,1,235,2,3,2,0,0,HB,TA/TO,0,2,0,A,0,No Deposit,Transient,112,1
44,1,168,0,2,2,0,0,HB,TA/TO,0,0,0,A,0,Non Refund,Transient,86,0
45,0,0,1,2,2,0,1,BB,Direct,0,0,0,G,2,No Deposit,Transient-Party,93,0
46,0,89,1,5,4,0,1,BB,Direct,0,0,0,H,3,No Deposit,Transient,190,1
47,0,171,2,5,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,70,0
48,0,1,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,30,1
49,0,29,0,2,1,0,0,BB,Corporate,0,1,5,A,2,No Deposit,Transient,48,0
50,0,153,0,3,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient-Party,123,2
51,0,104,2,7,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,61.2,0
52,0,152,1,4,1,0,0,BB,TA/TO,0,0,0,A,4,No Deposit,Transient-Party,48,0
53,0,0,0,1,1,0,0,BB,Direct,0,0,1,A,0,No Deposit,Transient,38,0
54,0,12,2,5,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,116.71,1
55,1,330,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,74.25,1
56,0,0,0,0,1,0,0,BB,TA/TO,1,0,0,A,0,No Deposit,Transient,0,0
57,0,174,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,92.4,0
58,0,33,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,44.8,1
59,0,80,4,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,55.64,1
60,0,136,2,5,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,61.02,1
61,0,118,2,7,2,0,0,BB,Direct,0,0,0,D,2,No Deposit,Transient,99.28,0
62,0,1,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,45,0
63,0,4,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52,1
64,0,206,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,70.11,1
65,0,36,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,36.12,0
66,0,1,0,2,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,35,0
67,1,221,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,83.43,0
68,0,139,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,55.68,2
69,0,194,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,97.4,1
70,0,1,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,126,0
71,0,388,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient-Party,72,0
72,0,10,2,0,2,0,0,BB,TA/TO,0,0,0,D,2,No Deposit,Transient,307.5,1
73,1,12,1,0,1,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,0,0
74,0,0,2,3,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,182.6,0
75,1,2,0,1,1,0,0,BB,Corporate,0,1,0,A,0,No Deposit,Transient,47,0
76,0,152,1,0,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,76,2
77,0,192,2,5,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,132.36,0
78,0,251,1,3,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,106,0
79,0,39,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,44.46,1
80,0,216,2,6,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,64.8,2
81,0,37,2,6,2,2,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,216.13,0
82,1,82,2,1,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,108,0
83,0,9,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,48,1
84,1,178,2,2,3,1,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,110.75,0
85,1,259,0,3,1,0,0,BB,Corporate,0,1,0,A,0,Non Refund,Transient,33.3,0
86,0,18,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,174,1
87,1,275,2,0,2,0,0,HB,TA/TO,0,26,0,A,0,Non Refund,Transient,50,0
88,1,177,1,5,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,85.5,0
89,1,179,2,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,72.9,1
90,1,41,1,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,178.4,0
91,0,85,2,8,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,89.4,2
92,0,0,1,0,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,98,0
93,0,0,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43,0
94,0,0,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,48,0
95,0,62,2,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,39.26,1
96,0,49,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,92,0
97,0,7,0,1,1,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,38,3
98,1,74,3,6,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,86,2
99,0,128,4,8,2,0,0,BB,TA/TO,0,0,0,E,2,No Deposit,Transient,62.47,0
100,0,15,0,2,2,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient-Party,66,0
101,0,0,0,1,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,60,2
102,1,328,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,170,0
103,1,259,0,3,1,0,0,BB,Corporate,0,1,0,A,0,Non Refund,Transient,33.3,0
104,0,11,2,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,76,0
105,0,10,1,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,141,0
106,1,103,1,1,2,0,0,BB,Corporate,0,0,0,D,0,Non Refund,Transient,65,0
107,0,1,1,0,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,234,0
108,1,157,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,126.67,1
109,0,6,0,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,0
110,1,99,2,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,1
111,0,98,2,5,1,1,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,78.19,1
112,0,70,0,4,1,0,0,HB,Direct,0,0,0,D,0,No Deposit,Transient,79.5,0
113,0,21,0,2,3,1,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,105,2
114,1,66,2,5,2,1,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,284.86,1
115,1,1,0,1,1,0,0,BB,Direct,0,0,0,F,1,No Deposit,Transient,78,1
116,1,17,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,207,2
117,0,33,2,5,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,49.4,0
118,1,245,0,1,2,0,0,HB,TA/TO,0,1,0,A,0,Non Refund,Transient,80,0
119,1,293,0,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,72,0
120,1,178,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,70.75,0
121,0,225,2,5,2,1,0,HB,TA/TO,0,0,0,E,0,No Deposit,Contract,138.13,1
122,0,0,0,1,2,0,0,BB,Direct,1,0,1,A,1,No Deposit,Transient,78,0
123,1,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
124,0,5,1,0,1,0,0,BB,TA/TO,1,0,1,E,0,No Deposit,Transient,0,2
125,1,338,0,1,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,164,0
126,0,0,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40,0
127,0,78,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,66.6,2
128,0,0,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,75,0
129,0,124,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,122.86,2
130,0,135,0,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,94.97,2
131,0,14,2,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,43,1
132,1,144,4,14,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,62,0
133,0,212,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,123.5,1
134,1,46,2,5,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,153.57,0
135,0,138,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,99,0
136,0,14,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,47.4,1
137,1,177,2,4,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,25.11,1
138,0,336,1,3,3,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient-Party,110.5,0
139,0,59,0,1,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,89.1,0
140,1,84,2,4,2,2,0,HB,TA/TO,0,0,0,G,0,No Deposit,Transient,193,0
141,0,16,1,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,53,0
142,0,0,0,1,2,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,44,1
143,0,118,4,10,1,0,0,BB,Direct,0,0,0,A,2,No Deposit,Transient,62,2
144,1,166,2,5,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,188.14,1
145,1,106,1,3,2,0,0,FB,Direct,0,0,0,A,0,Non Refund,Transient,84,0
146,0,57,0,3,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,36,1
147,0,46,1,0,2,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,71,1
148,1,83,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,Non Refund,Transient,58,0
149,1,16,0,3,2,1,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,190,0
150,0,5,0,2,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,73,0
151,0,0,0,1,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,78,0
152,1,168,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,80,0
153,0,171,4,10,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,90.1,0
154,1,172,2,5,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,97.71,0
155,0,140,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,59,0
156,0,8,0,2,2,0,0,BB,Corporate,0,0,0,A,1,No Deposit,Transient-Party,44.5,1
157,0,382,4,10,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,76.5,0
158,0,3,2,1,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,48,1
159,0,0,0,1,1,0,0,BB,Corporate,1,1,2,A,0,No Deposit,Transient,35,0
160,1,66,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,86,0
161,0,1,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,70,2
162,0,221,2,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,53.12,0
163,1,269,2,5,3,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,147,0
164,0,0,0,1,2,2,0,BB,Direct,0,0,0,G,0,No Deposit,Transient,155,0
165,0,170,4,10,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40,3
166,1,33,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient-Party,191,0
167,1,104,2,6,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,230,2
168,0,0,0,2,2,0,0,BB,Direct,1,0,1,D,1,No Deposit,Transient,78,0
169,1,24,0,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,236,2
170,1,35,0,1,1,0,0,BB,Corporate,0,0,1,A,0,No Deposit,Transient,35,0
171,0,39,0,2,3,1,0,BB,TA/TO,0,0,0,H,1,No Deposit,Transient-Party,136,0
172,1,5,1,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,35,0
173,0,307,2,1,1,2,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient-Party,197.61,2
174,0,230,2,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,46.8,0
175,1,346,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,81,2
176,0,51,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,30,0
177,0,23,1,3,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,65,1
178,0,2,0,2,2,0,0,BB,Direct,0,0,0,A,1,No Deposit,Transient,55,0
179,0,133,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,65.36,0
180,1,136,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,80,1
181,0,0,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,35,0
182,0,132,2,3,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,57.8,1
183,0,99,2,7,2,0,0,HB,TA/TO,0,0,0,A,9,No Deposit,Transient-Party,71.89,0
184,0,0,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,35,1
185,0,0,0,1,1,0,0,BB,Corporate,0,0,1,A,0,No Deposit,Transient,48,0
186,0,205,2,5,3,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,162.14,1
187,0,222,2,5,1,0,0,BB,Direct,0,0,0,E,3,No Deposit,Transient,95.5,0
188,1,74,2,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,73,0
189,0,295,2,8,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,82.1,2
190,0,165,0,4,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,0,0
191,0,26,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,64,0
192,1,3,0,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,45,0
193,1,48,1,1,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient,84,0
194,1,210,2,5,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,50.4,1
195,0,195,4,6,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,64.28,0
196,0,289,1,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,57,0
197,0,114,2,4,2,0,0,BB,Direct,0,0,0,D,4,No Deposit,Transient,189,1
198,1,45,4,6,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,230,0
199,0,129,2,2,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,76.4,0
200,0,113,4,6,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,79.85,0
201,1,9,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,121,0
202,0,68,2,4,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,115,1
203,1,378,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,Non Refund,Transient,46,0
204,0,1,2,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,139,1
205,1,20,0,2,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,169,0
206,0,28,1,3,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,86,0
207,0,34,1,1,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,64,0
208,0,87,3,8,2,0,0,FB,TA/TO,0,0,0,E,1,No Deposit,Transient-Party,134.4,0
209,0,77,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,86,2
210,0,110,1,0,2,0,0,BB,TA/TO,0,0,0,E,1,No Deposit,Transient-Party,50,0
211,0,32,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,57,0
212,0,77,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.5,0
213,1,0,0,1,1,0,0,SC,Direct,0,0,0,A,0,No Deposit,Transient,0,0
214,0,0,0,5,2,0,0,HB,Direct,0,0,0,A,1,No Deposit,Transient,128,0
215,0,23,0,2,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,37.5,1
216,0,72,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,110.7,0
217,1,9,0,3,2,0,0,BB,Direct,0,0,0,A,5,No Deposit,Transient,78.8,1
218,0,177,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,218,3
219,0,48,2,5,1,0,0,Undefined,TA/TO,0,0,0,A,0,No Deposit,Transient,47,0
220,1,238,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,70.4,2
221,0,66,2,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,161.6,0
222,1,66,1,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,52,2
223,0,4,2,1,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,42,1
224,1,311,0,2,2,0,0,HB,TA/TO,0,0,0,A,2,No Deposit,Transient,167.18,1
225,0,133,3,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Contract,142.63,1
226,0,196,1,2,2,0,0,Undefined,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,114,0
227,1,44,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,0,0
228,0,211,4,10,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,172,1
229,0,52,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,159.33,1
230,0,31,1,0,2,1,0,HB,TA/TO,0,0,0,G,1,No Deposit,Transient,359,0
231,0,0,1,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,85,2
232,1,82,2,7,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,198,0
233,0,109,0,2,1,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,75,0
234,0,142,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,37.8,1
235,0,200,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,128,0
236,0,2,0,2,2,0,0,BB,TA/TO,1,0,1,A,0,No Deposit,Transient,149,1
237,0,295,2,9,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,79.09,1
238,0,3,1,1,2,1,0,HB,TA/TO,0,0,0,H,0,No Deposit,Transient,198,1
239,1,121,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,40.93,1
240,0,88,2,4,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,34,0
241,1,129,2,2,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,48.95,2
242,1,244,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,90,2
243,0,0,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,123.3,0
244,0,3,1,2,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,33,0
245,1,212,2,5,2,0,0,HB,Direct,0,0,0,A,0,Non Refund,Transient,67.05,0
246,1,169,4,9,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,36.26,1
247,0,150,2,5,2,0,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,126.2,0
248,1,18,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,109,0
249,1,38,0,4,2,0,0,HB,Direct,0,0,0,E,0,No Deposit,Transient,231.8,1
250,0,153,4,10,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Contract,61.65,0
251,1,81,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,115,2
252,1,235,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,98,0
253,0,94,2,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,41,1
254,1,162,2,7,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,141.33,0
255,0,4,0,1,1,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient,72,0
256,0,23,4,10,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,73.89,0
257,1,3,1,0,1,0,0,BB,Corporate,1,0,1,A,0,No Deposit,Transient-Party,39,0
258,0,304,0,1,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,216,1
259,0,220,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,54,1
260,0,108,4,7,2,0,0,BB,Direct,0,0,0,E,2,No Deposit,Transient,85,5
261,0,226,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,30.24,0
262,1,21,0,2,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,110,1
263,0,1,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,95,2
264,0,2,0,3,2,0,0,HB,TA/TO,0,0,2,E,1,No Deposit,Transient,153.67,0
265,0,3,2,2,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,98.25,1
266,0,131,2,5,2,0,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient,88.7,0
267,0,4,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,45,0
268,0,5,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,73.95,0
269,0,2,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,75,1
270,1,143,2,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,45.6,2
271,1,44,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,70,0
272,0,337,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,72.2,0
273,0,47,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,70,1
274,0,31,0,1,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,61.2,2
275,0,154,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,36,0
276,0,113,4,7,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,40.95,2
