Number,lead_time,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,customer_type,adr,total_of_special_requests
283,304,2,4,2,0,1,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,90.67,1
284,36,2,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,126.67,0
289,33,2,2,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,89.97,1
292,0,0,1,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,123,0
294,0,0,1,2,0,0,BB,Direct,0,0,0,G,0,No Deposit,Transient,153,0
296,84,1,1,2,0,0,HB,Corporate,0,0,0,A,0,No Deposit,Transient,100,0
297,71,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.5,0
298,16,1,1,2,0,0,BB,TA/TO,0,0,0,C,0,No Deposit,Transient,123,1
300,8,2,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,131,0
301,36,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,104.68,0
308,53,1,0,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,153,0
310,8,2,4,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,169,2
312,12,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,132.29,0
314,90,2,5,2,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,117.22,1
327,31,4,7,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,123,0
329,55,4,10,2,10,0,BB,TA/TO,0,0,0,D,2,No Deposit,Contract,133.16,1
330,81,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,78.84,0
332,34,2,0,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,193,1
333,13,2,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,88.2,0
336,34,2,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.2,1
340,97,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,90.95,0
345,8,2,3,2,2,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,196,1
348,115,2,5,2,0,1,HB,TA/TO,0,0,0,A,1,No Deposit,Transient-Party,119.7,2
355,0,1,1,4,0,0,BB,Direct,0,0,0,L,0,No Deposit,Transient,150,0
356,9,1,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,161,2
361,51,1,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,130,0
363,58,1,2,2,0,0,HB,Direct,0,0,0,E,2,No Deposit,Transient,165,1
365,60,1,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,79.5,0
367,40,1,4,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,120,2
370,75,1,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,144.2,1
372,42,1,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,120,0
373,40,1,4,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,120,2
378,72,1,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,98.5,2
380,118,2,5,2,0,0,FB,Direct,0,0,0,D,0,No Deposit,Transient,184.6,1
381,81,2,5,2,1,0,HB,Direct,0,0,0,E,0,No Deposit,Transient,181.22,2
392,0,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,111.15,1
393,49,0,5,2,0,0,BB,TA/TO,0,0,0,E,1,No Deposit,Transient,136.2,2
395,73,1,5,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient-Party,127,1
398,112,2,5,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,65.7,1
408,0,0,1,1,0,0,BB,Corporate,0,0,0,A,0,No Deposit,Transient,134,0
409,62,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,91.5,0
410,39,0,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,132.44,0
411,37,2,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,106.9,0
415,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient-Party,107,0
418,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient,107,0
419,83,2,7,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,190.33,1
420,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient,107,0
422,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient-Party,0,0
428,57,0,2,3,0,0,FB,Direct,0,0,0,A,1,No Deposit,Transient-Party,148.23,0
429,57,0,2,1,0,0,FB,Direct,0,0,0,A,1,No Deposit,Transient-Party,0,0
430,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient-Party,107,0
431,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient,107,0
433,57,0,2,2,0,0,FB,Direct,0,0,0,A,0,No Deposit,Transient-Party,107,0
437,50,0,1,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,123.2,0
439,0,0,1,2,0,0,BB,TA/TO,0,0,0,F,0,No Deposit,Transient,123.2,0
440,7,0,1,2,2,0,BB,TA/TO,0,0,0,C,1,No Deposit,Transient,169,1
447,58,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,147,0
449,19,0,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,121.33,1
453,63,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,75.44,1
457,68,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Contract,130,0
460,6,0,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,1
461,7,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,127.25,1
466,7,0,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,127.25,1
467,11,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,155.5,0
472,15,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.6,1
476,53,2,3,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,133.75,0
477,94,2,3,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,103.5,0
478,64,2,3,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,84.8,1
479,53,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,107,0
480,53,2,3,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,107,0
482,53,2,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,107,0
489,79,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,145,2
491,90,2,5,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,132.3,3
493,65,2,6,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,167,2
495,25,3,7,2,0,0,HB,Direct,0,0,0,F,1,No Deposit,Transient,194.9,2
497,91,1,2,2,1,0,BB,TA/TO,0,0,0,A,3,No Deposit,Transient,118.5,3
498,38,1,2,2,1,0,HB,TA/TO,0,0,0,E,1,No Deposit,Transient,192,1
499,6,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,128.27,0
500,38,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,135,0
501,13,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,126.3,2
505,0,0,1,2,0,0,BB,Direct,0,0,0,L,0,No Deposit,Transient,136,0
509,19,2,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,147.67,2
510,25,2,4,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,145,0
514,64,2,5,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,137.75,1
515,44,2,2,2,0,0,BB,Direct,0,0,0,E,1,No Deposit,Transient,145,0
518,123,2,2,2,0,1,BB,TA/TO,0,0,0,E,1,No Deposit,Transient,157,2
531,40,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,127.03,2
533,64,2,5,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,128.25,1
536,60,2,6,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,167,0
537,57,2,6,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,135,1
542,0,1,0,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Group,88.2,0
544,4,2,0,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,154.5,2
547,37,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,0
551,41,2,5,2,2,0,HB,TA/TO,0,0,0,C,0,No Deposit,Transient,131.37,1
554,62,2,5,2,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,158.5,1
562,32,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,123,0
565,30,4,10,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,123,2
569,0,0,0,1,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,0,0
571,79,1,3,2,0,1,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,115,3
573,68,1,3,2,0,0,BB,TA/TO,0,0,0,A,3,No Deposit,Transient,103.5,2
575,41,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,135,1
578,60,1,4,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,195,0
587,82,2,5,2,0,1,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,152.43,3
590,86,2,5,2,1,0,HB,Direct,0,0,0,A,1,No Deposit,Transient,172.93,1
591,118,2,5,2,0,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,179.1,1
592,28,2,5,2,1,0,FB,TA/TO,0,0,0,F,0,No Deposit,Transient,192.5,1
594,49,3,6,2,0,0,FB,TA/TO,0,0,0,D,0,No Deposit,Transient,111.2,0
595,39,3,7,2,1,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient,141.6,1
605,8,0,5,3,0,0,BB,Direct,0,0,0,G,1,No Deposit,Transient,207,0
614,44,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,135,1
621,3,0,1,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,1
628,19,1,3,2,2,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,210,0
629,19,1,3,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,139,0
631,72,2,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,145,0
632,19,1,3,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,173,0
633,34,2,6,3,0,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient,217.05,1
641,22,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,153,2
643,18,0,2,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,154,0
644,8,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient-Party,173,2
645,67,0,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,135,1
647,1,1,2,3,0,0,BB,TA/TO,0,0,0,H,2,No Deposit,Transient,222.67,0
650,45,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,127,0
653,53,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,161.25,0
664,42,3,7,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107,0
666,30,0,0,2,1,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,0,0
676,12,1,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,153,1
677,51,2,1,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,118,0
678,67,2,2,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,134,1
683,33,2,3,2,2,0,HB,TA/TO,0,0,0,C,0,No Deposit,Transient,142.03,1
684,47,2,3,2,2,0,HB,Direct,0,0,0,G,1,No Deposit,Transient,240,0
685,43,2,4,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,134,0
687,54,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,147,0
688,32,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,176,0
689,29,2,5,2,0,0,BB,TA/TO,0,0,0,A,1,No Deposit,Transient,120.6,1
692,54,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,147,0
694,31,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107.2,0
696,61,2,6,3,0,0,HB,TA/TO,0,0,0,E,0,No Deposit,Transient,233.05,0
697,60,2,6,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,90.12,1
700,31,3,6,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,1
702,59,4,8,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Contract,114.25,1
704,0,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,88.55,0
707,50,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,164,0
708,88,2,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,154,1
713,33,2,4,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,132.5,0
714,73,2,3,3,0,0,HB,Direct,0,0,0,E,0,No Deposit,Transient,209,1
715,54,2,4,2,1,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,95.02,2
717,38,2,5,2,2,0,HB,Direct,0,0,0,C,0,No Deposit,Transient,180,0
720,39,3,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,133,1
721,39,3,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,133,1
731,51,1,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,115,0
733,41,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.6,0
734,6,1,3,2,0,0,BB,Direct,0,0,0,F,5,No Deposit,Transient,162,2
736,28,1,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,133.2,0
738,45,1,3,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107,2
739,52,1,3,2,1,0,HB,Direct,0,0,0,D,0,No Deposit,Transient,145,2
740,31,1,3,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient,145,0
752,298,1,5,3,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,183.45,1
753,35,1,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,159.6,1
754,40,1,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.6,0
755,101,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,164,2
758,101,2,5,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,164,2
759,38,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107.2,0
760,76,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,102.72,1
767,29,0,4,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,107,1
775,8,0,0,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Contract,0,0
781,40,1,4,3,0,0,HB,Direct,0,0,0,H,0,No Deposit,Transient,240,0
785,37,1,4,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient,145,1
788,118,1,4,2,0,0,HB,TA/TO,0,0,0,D,1,No Deposit,Transient,186,2
798,8,0,1,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,153,1
799,17,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,153,1
800,3,0,3,3,1,0,HB,Direct,0,0,0,G,0,No Deposit,Transient,250.33,2
821,16,0,2,1,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient-Party,120,1
827,56,0,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,120.6,0
829,32,0,2,2,2,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,219.5,0
831,18,1,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,149.7,1
832,23,1,2,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,111.92,0
835,18,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,173,3
838,72,2,2,2,2,0,BB,TA/TO,0,0,0,G,0,No Deposit,Transient,214,0
840,58,2,3,1,0,0,BB,TA/TO,0,0,0,D,1,No Deposit,Transient,157.8,0
846,89,0,1,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,154,0
847,10,0,1,2,0,0,BB,Direct,0,0,0,F,0,No Deposit,Transient-Party,202,0
850,10,0,1,2,0,0,BB,Direct,0,0,0,G,1,No Deposit,Transient-Party,252,0
862,91,2,5,2,1,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,144.53,3
868,77,4,6,2,1,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,174.7,3
869,57,4,10,2,2,0,BB,TA/TO,0,0,0,C,1,No Deposit,Transient,135.53,0
873,36,2,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,209.6,2
874,36,2,3,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,209.6,2
877,67,2,4,2,0,0,BB,Direct,0,0,0,D,0,No Deposit,Transient,163.5,1
878,60,2,5,2,0,0,HB,Direct,0,0,0,A,0,No Deposit,Transient,180.28,0
880,78,4,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,116.85,0
881,93,2,5,2,0,0,FB,TA/TO,0,0,0,A,0,No Deposit,Transient,159,0
885,47,1,1,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,205,0
889,83,2,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,162.14,1
890,131,2,5,2,0,1,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,119.7,1
896,0,0,1,2,0,0,BB,Direct,0,0,0,A,0,No Deposit,Transient,172,0
901,15,0,4,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,211,1
903,13,1,5,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,211,1
909,65,0,0,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,0,0
913,114,0,3,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,149.4,0
918,16,1,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,242.6,1
929,7,2,3,2,0,0,HB,TA/TO,0,0,0,A,1,No Deposit,Transient,217.2,4
937,49,0,2,2,2,0,BB,TA/TO,0,0,0,H,0,No Deposit,Transient,267,0
942,53,1,2,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,173,0
943,52,1,2,2,0,0,BB,Direct,0,0,0,E,0,No Deposit,Transient,173,1
945,98,2,2,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Transient,134,2
953,113,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient-Party,154.38,1
965,3,2,2,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,211.75,3
968,67,2,4,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,186,0
969,54,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,205,1
974,75,2,5,2,2,0,FB,Direct,0,0,0,C,0,No Deposit,Transient,276.43,3
976,126,2,5,2,0,1,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,133,2
977,54,2,5,2,0,0,HB,TA/TO,0,0,0,D,0,No Deposit,Transient,205,1
979,106,2,5,2,0,0,HB,TA/TO,0,0,0,A,0,No Deposit,Transient,119.7,1
980,136,2,5,2,0,0,BB,TA/TO,0,0,0,A,0,No Deposit,Contract,90.95,1
987,2,1,0,2,0,0,BB,TA/TO,0,0,0,D,0,No Deposit,Transient,134,1
989,10,2,0,2,0,0,BB,TA/TO,0,0,0,E,0,No Deposit,Transient,211.5,1
